Handle,Impact Hours
zeptimusq,677.8131747
santigs67,599.6738322
ygganderson,420.2552581
cranders71,412.1478067
sembrestels,369.9321607
solsista,303.5863557
akrtws,288.0271379
iviangita,260.0523685
mateodaza,233.7766995
durgadasji,216.4367046
metaverde,207.6615478
mzargham,186.4481184
juankbell,172.326292
jessicazartler,167.049818
griffgreen,157.4264992
laurenluz,151.4368255
liviade,144.3055436
divine_comedian,126.9113984
tonga2020,119.6022133
shawn_westrick,119.2399095
Vyvy-vi#5040,119.1300136
Mount Manu#3530,117.772443
markop,116.3123841
danlessa,114.0946024
naynaysoo,113.7405897
lkngtn,113.0373839
vitormarthendal,109.8804303
ddan#2489,108.3437463
tam2140,105.3060856
xgabi,103.8404266
Nuggan#5183,102.7834641
wslyvh,101.3319721
merlinegalite,97.73523795
jeffemmett,97.11583361
paulo_c2d,92.46979055
kristoferkristofer,89.85462742
freedumbs00,88.92618889
🐙 octopus#5508,88.5715496
sgonzt,88.49458296
vegayp,87.50764722
sponnet2,81.03238345
danibelle,80.23808289
blairv,78.06093779
trentmc0,76.54622701
Suga#8514,76.43128623
heater03,69.45206502
tannra,68.94622245
chuygarcia92,68.18157272
simondlr,67.91172864
manualzuru,66.68396571
jonathanbsci,65.69074021
knobsdao,63.73330811
geleeroyale,63.40656236
owocki,59.79328695
benjaminscholtz,59.69610694
fabiosmendes,57.03047321
rdfbbx#6437,56.51439754
AnnaMarieSwan#8824,55.67491822
niranb,54.26287289
fiorebotta,53.05320574
krisjones,53.0446465
fabimol,52.38088516
randomshinichi,50.4694867
fvigevani,50.43714245
atacas,49.78627862
loie_giveth,48.53841035
sherminv,47.66925425
aminlatifi,47.40003605
hbesso31,45.12961681
vntrp,44.31867887
pavl#1561,43.46164834
Letty#5399,41.49937047
rosamoc,41.27510754
willjgriff,41.25588976
tylerdmace,39.31384661
rubenrussel7,37.60849496
maghaali#6154,34.81141041
T Wells#9070,33.7703972
vivszaid,31.27923999
quartagiulio,31.21807375
daithic,30.50296318
elihanover,30.25505263
rodrigouy,29.82630969
jwaup,29.03693759
phil_h,27.83452085
gracerachmany,27.55221065
krrisis,26.88700519
fabianvb,26.60005826
misterboyfriend,24.3642346
felixfalafel,24.08306537
mehigher,23.74005628
lescanore,23.72853699
upaul,23.65075463
burrrata,23.53212262
aidanbrodieo,22.27665959
anjablaj,22.08654087
anthonyoliai,21.35223497
abchewey,19.05824895
KZ Flyer#0926,18.87551318
jameszaki,18.78104786
acidlazzer#5796,18.39739383
baartch#5796,17.89317763
ludo_lb,17.84773094
pehkah,17.42528672
decentralizesdgs,17.22801254
nikoline_nik,17.05345005
coachb,16.81711601
pacobacpac,16.33499603
freddbomba,15.95083089
moritzfelipe#9923,15.29051661
gyalbo,15.07225637
sjdthree#8498,15.07069263
dulcedu,14.92714097
papa_raw,14.84994525
